DATETIME,TRAFLOAD_CS_ERL,TRAFLOAD_CELL_PS_KB,TRAFLOAD_CELL_PS_DL_KB,TRAFLOAD_CELL_PS_UL_KB
10/24/2015,67212.57,33336286205.93,29294944569.46,4041341636.48
10/24/2015 01:00:00,38515.19,23347778816.35,20632769928.43,2715008887.92
10/24/2015 02:00:00,20560.88,14624298328.56,12950258514.43,1674039814.12
10/24/2015 03:00:00,10378.78,8512955882.61,7495141274.92,1017814607.69
10/24/2015 04:00:00,5828.55,5358980831.13,4683289050.87,675691780.26
10/24/2015 05:00:00,4406.41,4211152116.99,3666729473.85,544422643.14
10/24/2015 06:00:00,6834.8,5343169439.18,4662313499,680855940.18
10/24/2015 07:00:00,19579.03,10130713847.79,8898321894.49,1232391953.3
10/24/2015 08:00:00,45765.5,16426960104.5,14461937712.85,1965022391.65
10/24/2015 09:00:00,86327.77,21773561210.67,19113477989.49,2660083221.18
10/24/2015 10:00:00,145263.28,25723563400.29,22457142679.69,3266420720.6
10/24/2015 11:00:00,198226.62,28146778930.6,24426527367.4,3720251563.21
10/24/2015 12:00:00,228003.68,30162580746.57,26095178062.22,4067402684.35
10/24/2015 13:00:00,234866.21,31271035668.74,27051054591.23,4219981077.5
10/24/2015 14:00:00,220599.39,31679099440.65,27384496127.79,4294603312.86
10/24/2015 15:00:00,208780.4,31950668728.58,27534577587.98,4416091140.6
10/24/2015 16:00:00,209552.8,32887413995.72,28349039843.65,4538374152.08
10/24/2015 17:00:00,211586.61,33175074214.36,28535715114.04,4639359100.32
10/24/2015 18:00:00,207115.64,32958674061.36,28306881901.04,4651792160.32
10/24/2015 19:00:00,200583.07,35578056186.07,30523661339.95,5054394846.11
10/24/2015 20:00:00,180934.93,37426694669.14,32080440667.32,5346254001.83
10/24/2015 21:00:00,153209.81,39305503617.82,33857580973.9,5447922643.93
10/24/2015 22:00:00,128616.25,40539706079.47,35072690565.21,5467015514.26
10/24/2015 23:00:00,101985.14,40216328777.48,34952099360.79,5264229416.69
10/25/2015,71193.01,35891519063.08,31471978854.62,4419540208.46
10/25/2015 01:00:00,44508.54,26564239872.5,23396178584.84,3168061287.66
10/25/2015 02:00:00,25682.97,17447107155.8,15410275278.28,2036831877.52
10/25/2015 03:00:00,12890.14,9823331209.38,8668518444.38,1154812765
10/25/2015 04:00:00,5212.1,4323828566.59,3772896355.79,550932210.8
10/25/2015 05:00:00,6932.98,4358217234.51,3791452712.59,566764521.92
10/25/2015 06:00:00,14713.33,7525809810.46,6604113260.02,921696550.43
10/25/2015 07:00:00,27353.22,13274783680.99,11723040655.96,1551743025.02
10/25/2015 08:00:00,49404.06,19913134318.69,17574666283.21,2338468035.48
10/25/2015 09:00:00,90041.54,25094733297.45,21974960280.36,3119773017.09
10/25/2015 10:00:00,139361.97,28220764253.5,24533064742.63,3687699510.87
10/25/2015 11:00:00,178927.35,30565213583.26,26458697385.36,4106516197.9
10/25/2015 12:00:00,194870.06,31714663818.34,27355960315.33,4358703503.01
10/25/2015 13:00:00,189244.04,32268099243.03,27743362099.48,4524737143.55
10/25/2015 14:00:00,182914.67,32270046113.9,27661604328.78,4608441785.11
10/25/2015 15:00:00,184931.89,32914413672.15,28230142904.57,4684270767.58
10/25/2015 16:00:00,189225.1,33042159331.45,28245187316.52,4796972014.92
10/25/2015 17:00:00,192935.22,33446411403.35,28559192789.66,4887218613.69
10/25/2015 18:00:00,169076.79,36957477993.29,31403404047.75,5554073945.54
10/25/2015 19:00:00,150115.84,39178299072.39,33389066449.9,5789232622.49
10/25/2015 20:00:00,156540.47,38330697101.76,32833286878.77,5497410222.99
10/25/2015 21:00:00,128328.25,38398580615.82,33110589758.64,5287990857.19
10/25/2015 22:00:00,98299.4,37359605495.88,32439072685.03,4920532810.85
10/25/2015 23:00:00,65904.84,30661092098.16,26815498529.58,3845593568.58
10/26/2015,36068.47,19842064874.81,17466463370.24,2375601504.57
10/26/2015 01:00:00,17937.29,11519911551.01,10133564337.45,1386347213.56
10/26/2015 02:00:00,8807.27,6815529563.88,5983806903.84,831722660.04
10/26/2015 03:00:00,4706.09,4491592020.1,3914245272.92,577346747.18
10/26/2015 04:00:00,3732.75,3461129463.24,2981563283.24,479566180
10/26/2015 05:00:00,9139.87,5030317175.09,4307639231.73,722677943.36
10/26/2015 06:00:00,32580.59,11369929554.37,9789255973.53,1580673580.83
10/26/2015 07:00:00,69819.03,16621045655.83,14330171130.67,2290874525.16
10/26/2015 08:00:00,123207.97,19432950005.09,16725649475.05,2707300530.04
10/26/2015 09:00:00,186571.92,22326158328.15,19135631852.53,3190526475.61
10/26/2015 10:00:00,229779.65,23512622753.59,20048516786.73,3464105966.86
10/26/2015 11:00:00,253582.28,24558745388.71,20804317368.9,3754428019.81
10/26/2015 12:00:00,251926.24,25064526450.95,21230407986.92,3834118464.04
10/26/2015 13:00:00,240820.68,24244848660.39,20498872382.81,3745976277.58
10/26/2015 14:00:00,246486.83,25162726167.88,21236638422.68,3926087745.21
10/26/2015 15:00:00,261427.01,27511519651.67,23360983824.92,4150535826.75
10/26/2015 16:00:00,263378.98,28966875108.15,24728302518.21,4238572589.94
10/26/2015 17:00:00,254097.84,31209854584.4,26779751063.35,4430103521.05
10/26/2015 18:00:00,240562.56,33337070863.73,28593638289.04,4743432574.69
10/26/2015 19:00:00,216488.66,36403731540.29,31128134345.95,5275597194.34
10/26/2015 20:00:00,178616.64,38656922746.2,33214743614.29,5442179131.91
10/26/2015 21:00:00,141348.37,38487898699.69,33343224947,5144673752.69
10/26/2015 22:00:00,99827.28,36398836486.06,31794461077.33,4604375408.73
10/26/2015 23:00:00,63896.76,29859338734.12,26232443946.03,3626894788.1
10/27/2015,33742.67,19300986221.63,17020114923.77,2280871297.86
10/27/2015 01:00:00,16247.45,11525643477.39,10159592579.95,1366050897.44
10/27/2015 02:00:00,8072.78,7149273230.98,6284430900.89,864842330.09
10/27/2015 03:00:00,4445.58,4844069477.94,4243161344.11,600908133.83
10/27/2015 04:00:00,3646.13,3906103930.85,3400366885.39,505737045.46
10/27/2015 05:00:00,8698.65,5937860563.54,5158222310.96,779638252.58
10/27/2015 06:00:00,31108.03,13397430730.19,11680211975.91,1717218754.28
